--------------------------Start  NSGA2  optimization--------------------------
A new study created in memory with name: algs_para_setting
Trial 7 finished with best value: 0.6390993363287655 and parameters: {'crossover_prob': 0.9575593971029379, 'crossover_eta': 8, 'mutation_prob': 0.5852023929910503, 'mutation_eta': 7, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. 
Trial 95 finished with value: 0.6427509338499049 and parameters: {'crossover_prob': 0.8673546978239579, 'crossover_eta': 14, 'mutation_prob': 0.6118781559159612, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 96 finished with value: 0.6912234068603433 and parameters: {'crossover_prob': 0.8748849740030545, 'crossover_eta': 14, 'mutation_prob': 0.7755417246234428, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 97 finished with value: 0.694571991683206 and parameters: {'crossover_prob': 0.8678172165383995, 'crossover_eta': 14, 'mutation_prob': 0.6169249552259638, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 98 finished with value: 0.658303278096374 and parameters: {'crossover_prob': 0.8723381539841997, 'crossover_eta': 10, 'mutation_prob': 0.6120720155996756, 'mutation_eta': 8, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 99 finished with value: 0.6975787254562814 and parameters: {'crossover_prob': 0.8780265632094179, 'crossover_eta': 10, 'mutation_prob': 0.5089765080945496, 'mutation_eta': 8, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.

best params:  {'crossover_prob': 0.7779860983230351, 'crossover_eta': 7, 'mutation_prob': 0.8119322673317427, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'} best value:  0.6197490814338504
--------------------------Finish  NSGA2  optimization--------------------------


