LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
768,-,1120968690,2005.07.09,R30-M0-NC-C:J10-U11,2005-07-09-21.11.30.337616,R30-M0-NC-C:J10-U11,RAS,KERNEL,INFO,generating core.1557,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.{0},75,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
769,-,1120968838,2005.07.09,R11-M0-N2-C:J04-U11,2005-07-09-21.13.58.391696,R11-M0-N2-C:J04-U11,RAS,KERNEL,INFO,generating core.5167,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.5167,77,9,generating core.{core_id}' where core_id is a placeholder for the actual core id.,78,23,generating core.{core_id},75,10,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where core_id is a placeholder for the actual core id.,generating core.<*>,generating core.<*>
770,-,1120968857,2005.07.09,R11-M1-N2-C:J04-U01,2005-07-09-21.14.17.975757,R11-M1-N2-C:J04-U01,RAS,KERNEL,INFO,generating core.3111,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{coreid},75,9,core.{index},75,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
771,-,1120968887,2005.07.09,R10-M0-NB-C:J13-U11,2005-07-09-21.14.47.953574,R10-M0-NB-C:J13-U11,RAS,KERNEL,INFO,generating core.7193,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id}' where core_id is a dynamic variable that represents the ID of the core generating the log.,78,29,generating core.{pid},75,8,core.{process_id}.{thread_id},75,14,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where core_id is a dynamic variable that represents the ID of the core generating the log.,generating core.<*>,core.<*>
772,-,1120968941,2005.07.09,R13-M0-N0-C:J12-U01,2005-07-09-21.15.41.885081,R13-M0-N0-C:J12-U01,RAS,KERNEL,INFO,generating core.5861,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{core_id},78,10,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,core.{number},75,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
773,-,1120969022,2005.07.09,R30-M1-N1-C:J12-U01,2005-07-09-21.17.02.803088,R30-M1-N1-C:J12-U01,RAS,KERNEL,INFO,generating core.15425,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{pid},78,8,generating core.{core_id},79,10,generating core.{pid},76,8,core.{0},76,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
774,-,1120969071,2005.07.09,R30-M0-NF-C:J15-U11,2005-07-09-21.17.51.730570,R30-M0-NF-C:J15-U11,RAS,KERNEL,INFO,generating core.560,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number},77,8,generating core.{number},76,8,generating core.{core_id},77,10,generating core.{pid},74,8,core.{id},74,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
775,-,1120969099,2005.07.09,R35-M0-ND-C:J14-U01,2005-07-09-21.18.19.960414,R35-M0-ND-C:J14-U01,RAS,KERNEL,INFO,generating core.5760,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{core_number},78,10,generating core.5760,77,9,generating core.{core_id},78,10,generating core.{core_id},75,10,core.5760,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
776,-,1120969138,2005.07.09,R22-M0-ND-C:J17-U11,2005-07-09-21.18.58.127449,R22-M0-ND-C:J17-U11,RAS,KERNEL,INFO,generating core.13752,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id},79,10,generating core.{pid},76,8,{core_id}.{thread_id},76,12,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,<*>
777,-,1120969145,2005.07.09,R21-M0-N2-C:J15-U01,2005-07-09-21.19.05.376937,R21-M0-N2-C:J15-U01,RAS,KERNEL,INFO,generating core.10860,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{random number},78,9,generating core.{core_id}' where {core_id} is any number between 0 and 99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,79,256,generating core.{pid},76,8,core.{timestamp},76,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where <*> is any number between <*> and <*>,generating core.<*>,core.<*>
778,-,1120969149,2005.07.09,R24-M0-N7-C:J17-U11,2005-07-09-21.19.09.892450,R24-M0-N7-C:J17-U11,RAS,KERNEL,INFO,generating core.12536,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number}' where {number} is replaced by 12536.,79,22,generating core.{number},78,8,generating core.{core_id}' where core_id is an integer value between 0 and 4294967295 (inclusive).,79,38,generating core.{pid},76,8,{core}.{id},76,8,generating core.<*>,generating core.<*>' where <*> is replaced by <*>.,generating core.<*>,generating core.<*>' where core_id is an integer value between <*> and <*> (inclusive).,generating core.<*>,<*>
779,-,1120969163,2005.07.09,R36-M0-N9-C:J17-U01,2005-07-09-21.19.23.537422,R36-M0-N9-C:J17-U01,RAS,KERNEL,INFO,generating core.19744,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{placeholders},78,10,generating core.{core_id},79,10,generating core.{core_id},76,10,"{core_id}, {generation_id}",76,12,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,"<*>, <*>"
780,-,1120969179,2005.07.09,R31-M1-N7-C:J03-U01,2005-07-09-21.19.39.649600,R31-M1-N7-C:J03-U01,RAS,KERNEL,INFO,generating core.8803,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,core.{timestamp}.{pid},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
781,-,1120969258,2005.07.09,R21-M0-N0-C:J06-U01,2005-07-09-21.20.58.981208,R21-M0-N0-C:J06-U01,RAS,KERNEL,INFO,generating core.28238,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{pid},79,8,generating core.{pid},76,8,generating core.{0},76,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
782,-,1120969308,2005.07.09,R36-M1-N7-C:J05-U01,2005-07-09-21.21.48.751878,R36-M1-N7-C:J05-U01,RAS,KERNEL,INFO,generating core.12643,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id},79,10,generating core.{core_id},76,10,core.{process_id}.{thread_id},76,14,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
783,-,1120969332,2005.07.09,R20-M0-N6-C:J03-U11,2005-07-09-21.22.12.020466,R20-M0-N6-C:J03-U11,RAS,KERNEL,INFO,generating core.12927,E67,generating core.<*>,generating core.{id},78,8,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id},79,10,generating core.{core_id},76,10,core.{thread_id}.{core_id},76,14,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
784,-,1120969348,2005.07.09,R37-M0-NA-C:J10-U01,2005-07-09-21.22.28.245426,R37-M0-NA-C:J10-U01,RAS,KERNEL,INFO,generating core.6917,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{0},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
785,-,1120969377,2005.07.09,R27-M1-N7-C:J11-U01,2005-07-09-21.22.57.518045,R27-M1-N7-C:J11-U01,RAS,KERNEL,INFO,generating core.21353,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,core.21353,78,8,generating core.{core_id},79,10,generating core.{pid},76,8,core.21353,76,9,generating core.<*>,generating core.<*>,core.<*>,generating core.<*>,generating core.<*>,core.<*>
786,-,1120969383,2005.07.09,R26-M1-N6-C:J15-U11,2005-07-09-21.23.03.768684,R26-M1-N6-C:J15-U11,RAS,KERNEL,INFO,generating core.17276,E67,generating core.<*>,generating core.{core_id},78,10,core.{number},79,6,generating core.{number},78,8,generating core.{pid}' where pid is the placeholder for the process id.,79,18,generating core.{pid},76,8,{core_id},76,6,generating core.<*>,core.<*>,generating core.<*>,generating core.<*>' where pid is the placeholder for the process id.,generating core.<*>,<*>
787,-,1120969432,2005.07.09,R27-M0-N3-C:J04-U01,2005-07-09-21.23.52.155670,R27-M0-N3-C:J04-U01,RAS,KERNEL,INFO,generating core.26955,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id}' where {core_id} is a placeholder for the core ID.,79,24,generating core.{pid},76,8,core.{instance}.{generation},76,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where <*> is a placeholder for the core ID.,generating core.<*>,core.<*>
788,-,1120969436,2005.07.09,R27-M0-N2-C:J03-U11,2005-07-09-21.23.56.916963,R27-M0-N2-C:J03-U11,RAS,KERNEL,INFO,generating core.11135,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{placeholders},78,10,generating core.{core_id},79,10,generating core.{pid},76,8,core.{0},76,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
789,-,1120969467,2005.07.09,R31-M0-NA-C:J03-U11,2005-07-09-21.24.27.695037,R31-M0-NA-C:J03-U11,RAS,KERNEL,INFO,generating core.6711,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.6711,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,core.6711,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
790,-,1120969497,2005.07.09,R27-M1-ND-C:J02-U01,2005-07-09-21.24.57.796889,R27-M1-ND-C:J02-U01,RAS,KERNEL,INFO,generating core.22283,E67,generating core.<*>,generating core.{core_id},78,10,core.{number}' where {number} is replaced by 22283.,79,20,generating core.22283,78,10,generating core.{core_id}' where {core_id} is a placeholder for the value 22283.,79,29,generating core.{pid},76,8,core.{0},76,6,generating core.<*>,core.<*>' where <*> is replaced by <*>.,generating core.<*>,generating core.<*>' where <*> is a placeholder for the value <*>.,generating core.<*>,core.<*>
791,-,1120969508,2005.07.09,R35-M0-NE-C:J03-U11,2005-07-09-21.25.08.918888,R35-M0-NE-C:J03-U11,RAS,KERNEL,INFO,generating core.21175,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.21175,78,10,generating core.{core_id},79,10,generating core.{pid},76,8,{instance_name}-{core_number},76,11,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,<*>-<*>
792,-,1120969527,2005.07.09,R25-M0-N9-C:J11-U01,2005-07-09-21.25.27.506107,R25-M0-N9-C:J11-U01,RAS,KERNEL,INFO,generating core.28329,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,"generating core.{core_id}' where {core_id} can be any integer between 0 and 4,294,967,295 (inclusive).",79,43,generating core.{core_id},76,10,generating core.{id},76,8,generating core.<*>,generating core.<*>,generating core.<*>,"generating core.<*>' where <*> can be any integer between <*> and <*>,<*>,<*>,<*> (inclusive).",generating core.<*>,generating core.<*>
793,-,1120969674,2005.07.09,R22-M1-N8-C:J02-U01,2005-07-09-21.27.54.261842,R22-M1-N8-C:J02-U01,RAS,KERNEL,INFO,generating core.20367,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{pid}.{thread_id},78,13,generating core.{core_id},79,10,generating core.{pid},76,8,{core_name}.{core_id},76,12,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,<*>
794,-,1120969704,2005.07.09,R27-M1-N8-C:J08-U11,2005-07-09-21.28.24.603741,R27-M1-N8-C:J08-U11,RAS,KERNEL,INFO,generating core.23838,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id}' where core_id is an integer between 0 and 1024.,79,27,generating core.{core_id},76,10,generating core.{0},76,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where core_id is an integer between <*> and <*>.,generating core.<*>,generating core.<*>
795,-,1120969709,2005.07.09,R22-M0-N8-C:J15-U01,2005-07-09-21.28.29.361442,R22-M0-N8-C:J15-U01,RAS,KERNEL,INFO,generating core.16300,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id},79,10,generating core.{core_id},76,10,core.{core_id},76,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
796,-,1120969793,2005.07.09,R33-M0-N0-C:J04-U01,2005-07-09-21.29.53.355653,R33-M0-N0-C:J04-U01,RAS,KERNEL,INFO,generating core.7623,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number}' where {number} is replaced by the actual number.,78,19,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{id},75,8,generating core.<*>,generating core.<*>' where <*> is replaced by the actual number.,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
797,-,1120969840,2005.07.09,R01-M0-N0-C:J10-U01,2005-07-09-21.30.40.884135,R01-M0-N0-C:J10-U01,RAS,KERNEL,INFO,generating core.1957,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{year},78,8,generating core.{placeholders},77,10,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
798,-,1120970168,2005.07.09,R04-M1-NE-C:J15-U11,2005-07-09-21.36.08.377661,R04-M1-NE-C:J15-U11,RAS,KERNEL,INFO,generating core.3292,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
799,-,1120970941,2005.07.09,R00-M1-N7-C:J11-U01,2005-07-09-21.49.01.198976,R00-M1-N7-C:J11-U01,RAS,KERNEL,INFO,generating core.3249,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{num},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
800,-,1120970946,2005.07.09,R01-M1-N2-C:J08-U11,2005-07-09-21.49.06.101225,R01-M1-N2-C:J08-U11,RAS,KERNEL,INFO,generating core.2606,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,core.2606 generating,75,9,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*> generating
801,-,1120972565,2005.07.09,R01-M1-N7-C:J11-U11,2005-07-09-22.16.05.307549,R01-M1-N7-C:J11-U11,RAS,KERNEL,INFO,generating core.2233,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.2233,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
802,-,1120972589,2005.07.09,R04-M1-N0-C:J05-U01,2005-07-09-22.16.29.497623,R04-M1-N0-C:J05-U01,RAS,KERNEL,INFO,generating core.3959,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,core dump,77,3,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{id},75,8,generating core.<*>,generating core.<*>,core dump,generating core.<*>,generating core.<*>,generating core.<*>
803,-,1120972998,2005.07.09,R05-M1-N9-C:J16-U01,2005-07-09-22.23.18.517961,R05-M1-N9-C:J16-U01,RAS,KERNEL,INFO,generating core.2880,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.2880,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,core.{instance}.{id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
804,-,1120973021,2005.07.09,R04-M1-NB-C:J15-U01,2005-07-09-22.23.41.495412,R04-M1-NB-C:J15-U01,RAS,KERNEL,INFO,generating core.3792,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number}' where number is 3792.,78,17,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,core.{process_id}.{thread_id},75,14,generating core.<*>,generating core.<*>' where number is <*>.,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
805,-,1120974004,2005.07.09,R01-M1-N9-C:J03-U11,2005-07-09-22.40.04.247442,R01-M1-N9-C:J03-U11,RAS,KERNEL,INFO,generating core.2971,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.2971,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
806,-,1120975821,2005.07.09,R04-M1-NE-C:J10-U01,2005-07-09-23.10.21.207634,R04-M1-NE-C:J10-U01,RAS,KERNEL,INFO,generating core.3269,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number}' where {number} is replaced by 3269.,78,21,generating core.3269,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{core_id},75,10,generating core.<*>,generating core.<*>' where <*> is replaced by <*>.,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
807,-,1121006513,2005.07.10,R27-M1-N9-C:J15-U11,2005-07-10-07.41.53.770739,R27-M1-N9-C:J15-U11,RAS,KERNEL,INFO,generating core.24376,E67,generating core.<*>,generating core.{id},78,8,generating core.{number},79,8,generating core.{number},78,8,generating core.{pid},79,8,generating core.{core_id},76,10,generating core.{0},76,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
808,-,1121006557,2005.07.10,R24-M0-N3-C:J02-U01,2005-07-10-07.42.37.036562,R24-M0-N3-C:J02-U01,RAS,KERNEL,INFO,generating core.31435,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id}' where {core_id} is any integer.,79,20,generating core.{pid},76,8,{core}.{id},76,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where <*> is any integer.,generating core.<*>,<*>
809,-,1121006570,2005.07.10,R26-M1-N9-C:J02-U01,2005-07-10-07.42.50.396450,R26-M1-N9-C:J02-U01,RAS,KERNEL,INFO,generating core.3851,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.3851,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{0},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
810,-,1121006621,2005.07.10,R36-M0-N9-C:J11-U01,2005-07-10-07.43.41.076829,R36-M0-N9-C:J11-U01,RAS,KERNEL,INFO,generating core.20257,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id},79,10,generating core.{core_id},76,10,generating core.{timestamp},76,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
811,-,1121006676,2005.07.10,R30-M1-N9-C:J10-U01,2005-07-10-07.44.36.306387,R30-M1-N9-C:J10-U01,RAS,KERNEL,INFO,generating core.32257,E67,generating core.<*>,generating core.{core_id},78,10,core.{number},79,6,generating core.{number},78,8,generating core.{pid},79,8,generating core.{pid},76,8,generating core.{0},76,8,generating core.<*>,core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
812,-,1121006677,2005.07.10,R23-M1-NA-C:J14-U11,2005-07-10-07.44.37.462311,R23-M1-NA-C:J14-U11,RAS,KERNEL,INFO,generating core.7068,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id}' where core_id is a placeholder for the dynamic variable '7068,78,26,generating core.{pid},75,8,core.7068,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where core_id is a placeholder for the dynamic variable '<*>,generating core.<*>,core.<*>
813,-,1121006797,2005.07.10,R25-M1-N7-C:J13-U01,2005-07-10-07.46.37.300865,R25-M1-N7-C:J13-U01,RAS,KERNEL,INFO,generating core.4329,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,core.4329,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
814,-,1121006800,2005.07.10,R24-M1-N7-C:J16-U11,2005-07-10-07.46.40.398797,R24-M1-N7-C:J16-U11,RAS,KERNEL,INFO,generating core.16600,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{16600},78,12,generating core.{core_id}' where {core_id} is a placeholder for the dynamic variable.,79,24,generating core.{core_id},76,10,core.16600,76,9,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where <*> is a placeholder for the dynamic variable.,generating core.<*>,core.<*>
815,-,1121006825,2005.07.10,R37-M0-N2-C:J05-U11,2005-07-10-07.47.05.910036,R37-M0-N2-C:J05-U11,RAS,KERNEL,INFO,generating core.6519,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.6519,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{number},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
816,-,1121006882,2005.07.10,R32-M1-N3-C:J10-U11,2005-07-10-07.48.02.079501,R32-M1-N3-C:J10-U11,RAS,KERNEL,INFO,generating core.15313,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.{number},78,8,generating core.{core_id},79,10,generating core.{pid},76,8,core.{id},76,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
817,-,1121006900,2005.07.10,R24-M1-N6-C:J05-U01,2005-07-10-07.48.20.756795,R24-M1-N6-C:J05-U01,RAS,KERNEL,INFO,generating core.16623,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number}' where {number} is the unique identifier for each core.,79,20,generating core.{number},78,8,generating core.{core_id},79,10,generating core.{core_id},76,10,{hostname}-{pid},76,8,generating core.<*>,generating core.<*>' where <*> is the unique identifier for each core.,generating core.<*>,generating core.<*>,generating core.<*>,<*>-<*>
818,-,1121006926,2005.07.10,R25-M0-NA-C:J13-U11,2005-07-10-07.48.46.695024,R25-M0-NA-C:J13-U11,RAS,KERNEL,INFO,generating core.10429,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{number},79,8,generating core.10429,78,10,generating core.{pid},79,8,generating core.{core_id},76,10,generating core.{core_id},76,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
819,-,1121007023,2005.07.10,R36-M1-N0-C:J17-U11,2005-07-10-07.50.23.201865,R36-M1-N0-C:J17-U11,RAS,KERNEL,INFO,generating core.32116,E67,generating core.<*>,generating core.{core_id},78,10,generating core.{id},79,8,generating core.{pid}.{thread_id},78,13,generating core.{core_id}' where core_id is a placeholder for the id of the core that generated the log.,79,28,generating core.{pid},76,8,generating core.{id},76,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where core_id is a placeholder for the id of the core that generated the log.,generating core.<*>,generating core.<*>
820,-,1121007046,2005.07.10,R30-M1-N8-C:J15-U11,2005-07-10-07.50.46.048460,R30-M1-N8-C:J15-U11,RAS,KERNEL,INFO,generating core.15924,E67,generating core.<*>,generating core.{core_id},78,10,core.{number},79,6,generating core.{pid},78,8,generating core.{pid}' where pid is a placeholder for the process id.,79,18,generating core.{core_id},76,10,generating core.{core_id},76,10,generating core.<*>,core.<*>,generating core.<*>,generating core.<*>' where pid is a placeholder for the process id.,generating core.<*>,generating core.<*>
821,-,1121091173,2005.07.11,R30-M0-NB-C:J09-U01,2005-07-11-07.12.53.947417,R30-M0-NB-C:J09-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x0d09f1c0, mask 0x80",E18,"CE sym <*>, at <*>, mask <*>","CE sym {sym}, at 0x{addr}, mask 0x{mask}",93,20,"CE sym 2, at 0x0d09f1c0, mask 0x80",94,25,"CE sym 2, at 0x0d09f1c0, mask 0x80",93,25,"CE sym {error_type}, at 0x{address}, mask 0x{mask}",94,22,"CE sym {err_num}, at 0x{addr}, mask 0x{mask}",91,24,"{sym}, at {addr}, mask {mask}",91,14,"CE sym <*>, at <*>, mask <*>","CE sym <*>, at 0x0d09f1c0, mask 0x80","CE sym <*>, at 0x0d09f1c0, mask 0x80","CE sym <*>, at <*>, mask <*>","CE sym <*>, at <*>, mask <*>","<*>, at <*>, mask <*>"
822,-,1121111691,2005.07.11,R22-M0-N0-I:J18-U11,2005-07-11-12.54.51.738880,R22-M0-N0-I:J18-U11,RAS,APP,FATAL,"ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory",E28,"ciod: Error loading <*>: invalid or missing program image, No such file or directory","ciod: Error loading {file}: invalid or missing program image, {reason}",115,18,"ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory",117,48,"ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory",116,48,"ciod: Error loading {path}: invalid or missing program image, No such file or directory",117,20,"ciod: Error loading {filename}: invalid or missing program image, {error}",113,18,"ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory",113,48,"ciod: Error loading <*>: invalid or missing program image, <*>","ciod: Error loading <*>: invalid or missing program image, No such file or directory","ciod: Error loading <*>: invalid or missing program image, No such file or directory","ciod: Error loading <*>: invalid or missing program image, No such file or directory","ciod: Error loading <*>: invalid or missing program image, <*>","ciod: Error loading <*>: invalid or missing program image, No such file or directory"
