LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
226,Jun,22,04:11:42,combo,su(pam_unix),17037.0,session closed for user news,E101,session closed for user <*>,session closed for user {user},149,8,session closed for user {username},150,8,session closed for user {user},149,8,session closed for user {username},150,8,session closed for user {username},150,8,session closed for user {username},150,8,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>
227,Jun,22,04:30:55,combo,sshd(pam_unix),17129.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
228,Jun,22,04:30:55,combo,sshd(pam_unix),17129.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
229,Jun,22,04:30:55,combo,sshd(pam_unix),17125.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
230,Jun,22,04:30:55,combo,sshd(pam_unix),17125.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
231,Jun,22,04:30:55,combo,sshd(pam_unix),17124.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
232,Jun,22,04:30:55,combo,sshd(pam_unix),17124.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
233,Jun,22,04:30:55,combo,sshd(pam_unix),17123.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
234,Jun,22,04:30:55,combo,sshd(pam_unix),17123.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
235,Jun,22,04:30:55,combo,sshd(pam_unix),17132.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
236,Jun,22,04:30:55,combo,sshd(pam_unix),17132.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
237,Jun,22,04:30:55,combo,sshd(pam_unix),17131.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
238,Jun,22,04:30:55,combo,sshd(pam_unix),17131.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
239,Jun,22,04:30:55,combo,sshd(pam_unix),17135.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
240,Jun,22,04:30:55,combo,sshd(pam_unix),17135.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
241,Jun,22,04:30:55,combo,sshd(pam_unix),17137.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
242,Jun,22,04:30:55,combo,sshd(pam_unix),17137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
243,Jun,22,04:30:56,combo,sshd(pam_unix),17139.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
244,Jun,22,04:30:56,combo,sshd(pam_unix),17139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
245,Jun,22,04:30:56,combo,sshd(pam_unix),17140.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
246,Jun,22,04:30:56,combo,sshd(pam_unix),17140.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=ip-216-69-169-168.ip.secureserver.net,197,53,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},196,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},197,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=ip-<*>-<*>-<*>-<*>.ip.secureserver.net,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
247,Jun,22,13:16:30,combo,ftpd,17886.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
248,Jun,22,13:16:30,combo,ftpd,17889.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
249,Jun,22,13:16:30,combo,ftpd,17887.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
250,Jun,22,13:16:30,combo,ftpd,17888.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
251,Jun,22,13:16:30,combo,ftpd,17890.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
252,Jun,22,13:16:30,combo,ftpd,17893.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
253,Jun,22,13:16:30,combo,ftpd,17879.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
254,Jun,22,13:16:30,combo,ftpd,17892.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
255,Jun,22,13:16:30,combo,ftpd,17876.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
256,Jun,22,13:16:30,combo,ftpd,17875.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
257,Jun,22,13:16:30,combo,ftpd,17877.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
258,Jun,22,13:16:30,combo,ftpd,17874.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
259,Jun,22,13:16:30,combo,ftpd,17882.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
260,Jun,22,13:16:30,combo,ftpd,17872.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
261,Jun,22,13:16:30,combo,ftpd,17881.0,connection from 210.245.165.136 () at Wed Jun 22 13:16:30 2005,E119,connection from <*> () at <*>,connection from {ip} () at {date},183,11,connection from {ip_address} () at {date} {time}.,184,16,connection from {ip_address} () at {date} {time}.,183,16,connection from {} () at {}.,184,8,connection from {ip} ({domain}) at {date} {time} {year} {month} {day},184,25,connection from {ip} () at {date_time},184,13,connection from <*> () at <*>,connection from <*> () at <*> <*>.,connection from <*> () at <*> <*>.,connection from <*> () at <*>.,connection from <*> (<*>) at <*> <*> <*> <*> <*>,connection from <*> () at <*>
