LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
602,2015-10-18,"18:04:04,986",INFO,ContainerLauncher #7,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,Opening proxy : MSRA-SA-41.fareast.corp.microsoft.com:7109,E74,Opening proxy : <*>,Opening proxy : {proxy},122,8,Opening proxy : {name}.{domain}.{org}:{port},122,17,Opening proxy : {hostname}:{port},121,11,Opening proxy : <proxy>{proxy}:{port},122,13,Opening proxy : <ip>:<port>,119,11,Opening proxy : <host>:<port>,119,11,Opening proxy : <*>,Opening proxy : <*>,Opening proxy : <*>,Opening proxy : <*>,Opening proxy : <ip>:<port>,Opening proxy : <host>:<port>
603,2015-10-18,"18:04:05,127",INFO,IPC Server handler 5 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000003_0 is : 0.6199081,E80,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt attempt_{task_attempt_id} is : {progress},143,20,"Progress of TaskAttempt attempt_<id>, headroom=<memory:{memory}, vCores:{core}', where <id> is the unique id of the task.",144,38,Progress of TaskAttempt attempt_<attempt_id>_<task_id>_<partition_id>_<stage_id>_<attempt_num> is : <progress>,143,44,Progress of TaskAttempt <taskId> is : <progress>,144,15,Progress of TaskAttempt attempt_{taskId} is : {progress},141,16,TaskAttempt <attempt_id>: <percentage>%,141,16,Progress of TaskAttempt <*> is : <*>,"Progress of TaskAttempt attempt_<id>, headroom=<memory:<*>, vCores:<*>', where <id> is the unique id of the task.",Progress of TaskAttempt attempt_<attempt_id>_<task_id>_<partition_id>_<stage_id>_<attempt_num> is : <progress>,Progress of TaskAttempt <taskId> is : <progress>,Progress of TaskAttempt <*> is : <*>,TaskAttempt <attempt_id>: <percentage>%
604,2015-10-18,"18:04:05,127",INFO,ContainerLauncher #7,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Shuffle port returned by ContainerManager for attempt_1445144423722_0020_m_000007_0 : 13562,E94,Shuffle port returned by ContainerManager for <*> : <*>,Shuffle port returned by ContainerManager for attempt_{attempt} : {port},141,18,"Shuffle port returned by ContainerManager for attempt_<id>, port=<port>",142,19,Shuffle port returned by ContainerManager for attempt_<attempt_id>_<task_id>_<task_attempt_id>_ : <port>,141,37,Shuffle port returned by ContainerManager for attempt_{attemptId}_m_{mapIndex}_0 : <port>,142,25,Shuffle port returned by ContainerManager for attempt_{attemptId} : {port},139,19,Shuffle port returned by ContainerManager for attempt_<attemptId>_<attemptNumber>: <port>,139,25,Shuffle port returned by ContainerManager for <*> : <*>,"Shuffle port returned by ContainerManager for attempt_<id>, port=<port>",Shuffle port returned by ContainerManager for attempt_<attempt_id>_<task_id>_<task_attempt_id>_ : <port>,Shuffle port returned by ContainerManager for <*> : <port>,Shuffle port returned by ContainerManager for <*> : <*>,Shuffle port returned by ContainerManager for attempt_<attemptId>_<attemptNumber>: <port>
605,2015-10-18,"18:04:05,127",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,TaskAttempt: [attempt_1445144423722_0020_m_000007_0] using containerId: [container_1445144423722_0020_01_000009 on NM: [MSRA-SA-41.fareast.corp.microsoft.com:7109],E105,TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>],TaskAttempt: [{task_attempt}] using containerId: [{container_id}] on NM: [{node_manager}],197,29,"TaskAttempt: [attempt_{attempt_id}, containerId: [container_{container_id}] using containerId: [container_{container_id}_on {NM}_{NM_ip}: {NM_port}]",197,52,TaskAttempt: [attempt_<attempt_number>_<task_id>_<container_id>] using containerId: [container_<container_id>_<node_id>_<node_address>_<node_name>] on NM: [<node_address>],196,70,TaskAttempt: [attempt_{attempt_id}] using containerId: [container_{container_id} on NM: [{nm_name}:{nm_port}],197,39,TaskAttempt: [attempt_{jobid}_{attemptid}_m_{partition}] using containerId: [container_{jobid}_{attemptid}_01_00000{hostname}:{port}],193,50,TaskAttempt: [{taskAttempt}] using containerId: [{containerId}] on NM: [{nodeManager}],193,29,TaskAttempt: [<*>] using containerId: [<*>] on NM: [<*>],"TaskAttempt: [<*>, containerId: [<*>] using containerId: [<*> <*>: <*>]",TaskAttempt: [attempt_<attempt_number>_<task_id>_<container_id>] using containerId: [container_<container_id>_<node_id>_<node_address>_<node_name>] on NM: [<node_address>],TaskAttempt: [<*>] using containerId: [<*> on NM: [<*>],TaskAttempt: [<*>] using containerId: [<*>],TaskAttempt: [<*>] using containerId: [<*>] on NM: [<*>]
606,2015-10-18,"18:04:05,127",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,attempt_1445144423722_0020_m_000007_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,E14,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_{taskId} TaskAttempt Transitioned from ASSIGNED to RUNNING,141,21,attempt_{number}_{phase}_{taskId}_{state},143,14,TaskAttempt Transitioned from {state_from} to {state_to},142,19,attempt_{attemptId}_m_{mapId}_0 TaskAttempt Transitioned from {state1} to {state2},143,30,attempt_{jobid}_{attemptId}_m_000007_0 TaskAttempt Transitioned from ASSIGNED to RUNNING,139,36,attempt_<attemptId> <stageName>:{stageStatus} <taskType>:{taskType} <taskState>:{taskState},139,33,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,<*>,TaskAttempt Transitioned from <*> to <*>,<*> TaskAttempt Transitioned from <*> to <*>,<*> TaskAttempt Transitioned from ASSIGNED to RUNNING,attempt_<attemptId> <stageName>:<*> <taskType>:<*> <taskState>:<*>
607,2015-10-18,"18:04:05,127",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,ATTEMPT_START task_1445144423722_0020_m_000007,E22,ATTEMPT_START <*>,ATTEMPT_START task_{task_id}_{attempt_id},129,17,ATTEMPT_START task_<task_id>_<timestamp>_<node_index>_<attempt_number>,131,31,ATTEMPT_START task_1445144423722_0020_m_000007,130,36,ATTEMPT_START task_{attempt_id}_m_{map_index},131,20,ATTEMPT_START task_{taskId},127,11,ATTEMPT_START <job_name>:<attempt_id>,127,17,ATTEMPT_START <*>,ATTEMPT_START task_<task_id>_<timestamp>_<node_index>_<attempt_number>,ATTEMPT_START task_1445144423722_0020_m_000007,ATTEMPT_START <*>,ATTEMPT_START <*>,ATTEMPT_START <job_name>:<attempt_id>
608,2015-10-18,"18:04:05,127",INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,task_1445144423722_0020_m_000007 Task Transitioned from SCHEDULED to RUNNING,E104,<*> Task Transitioned from SCHEDULED to RUNNING,task_{taskID} Task Transitioned from SCHEDULED to RUNNING,137,19,task_[task_id]_[state]_[scheduler_time],139,17,task_<task_id>_<phase_id>_m_<memory>{memory}_vCores{core}_Task Transitioned from <previous_phase> to <current_phase>,138,44,task_{taskId}_m_{mapId} Task Transitioned from {statusFrom} to {statusTo},139,25,task_{taskId} Task Transitioned from {fromState} to {toState},136,20,task_<task_id> Task Transitioned from <state> to <new state>,136,21,<*> Task Transitioned from SCHEDULED to RUNNING,task_[task_id]_[state]_[scheduler_time],<*> Transitioned from <previous_phase> to <current_phase>,<*> Task Transitioned from <*> to <*>,<*> Task Transitioned from <*> to <*>,task_<task_id> Task Transitioned from <state> to <new state>
609,2015-10-18,"18:04:05,830",INFO,IPC Server handler 8 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000006_0 is : 0.106964506,E80,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt attempt_{task_id} is : {progress},145,17,"Progress of TaskAttempt attempt_<id>, <stage>_<index>_<taskId> is : <progress>.",146,28,"Progress of TaskAttempt attempt{attempt}_{id}_m_{status}__{progress}.'

The template of 'Task 00:01:01 (attempt_1445144423722_0020_m_000006_0) is running' is 'Task {task}_{id} is {status}.",145,90,Progress of TaskAttempt <attemptId> is : <progress>,146,16,Progress of TaskAttempt attempt_{taskId} is : {progress},143,16,TaskAttempt <id>: Progress of <task> is : <progress>,143,17,Progress of TaskAttempt <*> is : <*>,"Progress of TaskAttempt attempt_<id>, <stage>_<index>_<taskId> is : <progress>.",Progress of TaskAttempt <*>.' The template of 'Task <*> (attempt_1445144423722_0020_m_000006_0) is running' is 'Task <*> is <*>.,Progress of TaskAttempt <attemptId> is : <progress>,Progress of TaskAttempt <*> is : <*>,TaskAttempt <id>: Progress of <task> is : <progress>
610,2015-10-18,"18:04:05,893",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:0, vCores:-27> knownNMs=4",E45,"getResources() for <*>: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>","getResources() for application_{applicationId}: ask={ask} release={release} newContainers={newContainers} finishedContainers={finishedContainers} resourcelimit=<memory:{memory}, vCores:{core}> knownNMs={knownNMs}",159,58,"getResources() for application_[application id] : ask=[ask], release=[release], newContainers=[newContainers], finishedContainers=[finishedContainers], resourcelimit=[resourcelimit], knownNMs=[knownNMs].",163,61,"getResources() for application_1445144423722_0020: ask=4 release= 0 newContainers=0 finishedContainers=0 resourcelimit=<memory:{memory}, vCores:{core}> knownNMs=4",162,68,"getResources() for <applicationId>: ask=<ask> release= <release> newContainers=<newContainers> finishedContainers=<finishedContainers> resourcelimit=<memory:{memory}, vCores:{core}> knownNMs=<knownNMs>",163,69,"getResources() for application_<applicationId>: ask={memory} release={memory} newContainers={containers} finishedContainers={containers} resourcelimit=<memory:{memory}, vCores:{core}> knownNMs={nodes}",158,59,getResources() for application_<applicationId>: ask={ask} release={release} newContainers={newContainers} finishedContainers={finishedContainers} resourcelimit={resourcelimit} knownNMs={knownNMs},158,57,"getResources() for <*>: ask=<*> release=<*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>","getResources() for application_[application id] : ask=[ask], release=[release], newContainers=[newContainers], finishedContainers=[finishedContainers], resourcelimit=[resourcelimit], knownNMs=[knownNMs].","getResources() for application_1445144423722_0020: ask=<*> release= <*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>","getResources() for <applicationId>: ask=<ask> release= <release> newContainers=<newContainers> finishedContainers=<finishedContainers> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<knownNMs>","getResources() for application_<applicationId>: ask=<*> release=<*> newContainers=<*> finishedContainers=<*> resourcelimit=<memory:<*>, vCores:<*> knownNMs=<*>",getResources() for application_<applicationId>: ask=<*> release=<*> newContainers=<*> finishedContainers=<*> resourcelimit=<*> knownNMs=<*>
611,2015-10-18,"18:04:05,893",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",115,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",116,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",115,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",116,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",111,22,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",111,22,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
612,2015-10-18,"18:04:05,893",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},114,30,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},117,33,Reduce slow start threshold not met. completedMapsForReduceSlowstart {map},116,23,Reduce slow start threshold not met. completedMapsForReduceSlowstart <completedMaps>,117,26,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},112,29,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},112,29,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <completedMaps>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
613,2015-10-18,"18:04:06,502",INFO,IPC Server handler 23 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000001_0 is : 0.27776006,E80,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt attempt_{taskId} is : {progress},144,16,"Progress of TaskAttempt attempt_<ID>, headroom=<memory:{memory}, vCores:{core}>.",145,26,Progress of TaskAttempt attempt{attempt_id} is : {progress}%,144,18,Progress of TaskAttempt <task-attempt> is : <progress>,145,17,Progress of TaskAttempt attempt_{appId}_{attemptId}_m_{partitionId}_0 is : {progress},142,26,Progress of TaskAttempt <task-id>: <progress>%,142,16,Progress of TaskAttempt <*> is : <*>,"Progress of TaskAttempt attempt_<ID>, headroom=<memory:<*>, vCores:<*>.",Progress of TaskAttempt <*> is : <*>%,Progress of TaskAttempt <task-attempt> is : <progress>,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt <task-id>: <progress>%
614,2015-10-18,"18:04:06,861",INFO,IPC Server handler 8 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000002_0 is : 0.27772525,E80,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt attempt_{task_id} is : {progress},144,17,"Progress of TaskAttempt attempt_<id>, headroom=<memory:{memory}, vCores:{core}>.",145,26,Progress of TaskAttempt attempt{attempt}_{id}.{task} is : {progress},144,22,Progress of TaskAttempt <attemptId> is : <progress>,145,16,Progress of TaskAttempt attempt_{appId}_{attemptId}_m_{partitionId}_0 is : {progress},142,26,Progress of TaskAttempt attempt_<task-attempt-id> is : <progress-percentage>,142,24,Progress of TaskAttempt <*> is : <*>,"Progress of TaskAttempt attempt_<id>, headroom=<memory:<*>, vCores:<*>.",Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt <attemptId> is : <progress>,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt attempt_<task-attempt-id> is : <progress-percentage>
615,2015-10-18,"18:04:06,940",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",115,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",116,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",115,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",116,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",111,22,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",111,22,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
616,2015-10-18,"18:04:06,940",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},114,30,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},117,33,Reduce slow start threshold not met. completedMapsForReduceSlowstart {map},116,23,Reduce slow start threshold not met. completedMapsForReduceSlowstart <completedMaps>,117,26,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},112,29,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},112,29,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <completedMaps>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
617,2015-10-18,"18:04:06,955",INFO,Socket Reader #1 for port 62270,SecurityLogger.org.apache.hadoop.ipc.Server,Auth successful for job_1445144423722_0020 (auth:SIMPLE),E23,Auth successful for <*> (auth:SIMPLE),Auth successful for job_{job_id} (auth:SIMPLE),124,17,Auth successful for job_<job_id> (auth:{auth}),125,16,Auth successful for {job_id} ({auth_type}),124,14,Auth successful for <job_id> (auth:<auth>),125,15,Auth successful for job_{jobId} (auth:{auth}),121,16,Auth successful for job_<jobid> (auth:SIMPLE),121,16,Auth successful for <*> (auth:SIMPLE),Auth successful for job_<job_id> (auth:<*>),Auth successful for <*> (<*>),Auth successful for <job_id> (auth:<auth>),Auth successful for <*> (auth:<*>),Auth successful for job_<jobid> (auth:SIMPLE)
618,2015-10-18,"18:04:06,971",INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID : jvm_1445144423722_0020_m_000009 asked for a task,E58,JVM with ID : <*> asked for a task,JVM with ID : jvm_{jvm_id} asked for a task,134,18,"JVM with ID : <id>, asked for a task",135,13,JVM with ID : {jvm_id} asked for a task,134,16,JVM with ID : <jvmId> asked for a task,135,15,JVM with ID : jvm_{jvmId} asked for a task,132,18,JVM with ID : <jvmId> asked for a task,132,16,JVM with ID : <*> asked for a task,"JVM with ID : <id>, asked for a task",JVM with ID : <*> asked for a task,JVM with ID : <jvmId> asked for a task,JVM with ID : <*> asked for a task,JVM with ID : <jvmId> asked for a task
619,2015-10-18,"18:04:06,971",INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,JVM with ID: jvm_1445144423722_0020_m_000009 given task: attempt_1445144423722_0020_m_000007_0,E59,JVM with ID: <*> given task: <*>,JVM with ID: jvm_{jvm_id} given task: attempt_{attempt_id},164,24,"JVM with ID: <jvm_id>, given task: <task>",165,18,JVM with ID: {jvm_id} given task: {task_id},164,20,JVM with ID: jvm_{jvmID}_m_{attemptID}_given_task: attempt_{attemptID}_{taskID},165,33,JVM with ID: jvm_{jvmID} given task: attempt_{attemptID}_{taskAttemptID},162,27,JVM with ID: <jvm-id> given task: <task-name>,162,20,JVM with ID: <*> given task: <*>,"JVM with ID: <jvm_id>, given task: <task>",JVM with ID: <*> given task: <*>,JVM with ID: <*>: <*>,JVM with ID: <*> given task: <*>,JVM with ID: <jvm-id> given task: <task-name>
620,2015-10-18,"18:04:06,971",INFO,IPC Server handler 5 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000000_0 is : 0.27696857,E80,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt attempt_{task_attempt_id} is : {progress},144,20,"Progress of TaskAttempt attempt_<id>, <status>_<index>_<taskId> is <progress>.",145,27,Progress of TaskAttempt attempt_<task_id>_<attempt_id>_<phase_id>.<phase_name> is : <progress>,144,36,Progress of TaskAttempt <attemptID> is : <progress>,145,16,Progress of TaskAttempt attempt_{taskId} is : {progress},142,16,TaskAttempt attempt_<attemptID> is : <percentage>,142,17,Progress of TaskAttempt <*> is : <*>,"Progress of TaskAttempt attempt_<id>, <status>_<index>_<taskId> is <progress>.",Progress of TaskAttempt attempt_<task_id>_<attempt_id>_<phase_id>.<phase_name> is : <progress>,Progress of TaskAttempt <attemptID> is : <progress>,Progress of TaskAttempt <*> is : <*>,TaskAttempt attempt_<attemptID> is : <percentage>
621,2015-10-18,"18:04:07,908",INFO,IPC Server handler 8 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Progress of TaskAttempt attempt_1445144423722_0020_m_000005_0 is : 0.10685723,E80,Progress of TaskAttempt <*> is : <*>,Progress of TaskAttempt attempt_{taskid} is : {progress},144,16,"Progress of TaskAttempt attempt_<id>, <name>_<index>_<stage>_<taskId> is : <progress>.",145,32,Progress of TaskAttempt attempt{attempt}_{id}_m_{phase}_{progress},144,22,Progress of TaskAttempt attempt_{attemptId}_m_0000{taskId}_0 is : <progress>,145,28,Progress of TaskAttempt attempt_{attemptId} is : {progress},142,17,{taskId}:{attemptNumber} - {progress},142,14,Progress of TaskAttempt <*> is : <*>,"Progress of TaskAttempt attempt_<id>, <name>_<index>_<stage>_<taskId> is : <progress>.",Progress of TaskAttempt <*>,Progress of TaskAttempt <*> is : <progress>,Progress of TaskAttempt <*> is : <*>,<*> - <*>
622,2015-10-18,"18:04:07,955",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Got allocated containers 1,E46,Got allocated containers <*>,Got allocated containers {containers},101,9,Got allocated containers <container_count>,102,10,Got allocated containers {containerCount},101,9,Got allocated containers <count>,102,8,Got allocated containers {containers},99,9,Got allocated containers {number},99,8,Got allocated containers <*>,Got allocated containers <container_count>,Got allocated containers <*>,Got allocated containers <count>,Got allocated containers <*>,Got allocated containers <*>
623,2015-10-18,"18:04:07,955",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Assigned container container_1445144423722_0020_01_000010 to attempt_1445144423722_0020_m_000008_0,E13,Assigned container <*> to <*>,Assigned container {container} to attempt {attempt},160,13,Assigned container container_{container_id} to attempt_{attempt_number}_m_{machine_name}_c_{container_count}.,161,30,Assigned container {container} to attempt {attempt},160,13,Assigned container <container> to attempt <attempt>,161,13,Assigned container container_{containerId} to attempt_{applicationId}_{attemptId}_m_{containerId}_0,158,26,Assigned container <container>:<attempt> to <job>_<attempt>,158,20,Assigned container <*> to attempt <*>,Assigned container <*> to <*>.,Assigned container <*> to attempt <*>,Assigned container <container> to attempt <attempt>,Assigned container <*> to <*>,Assigned container <container>:<attempt> to <job>_<attempt>
624,2015-10-18,"18:04:07,955",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,"Recalculating schedule, headroom=<memory:0, vCores:-27>",E83,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",115,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",116,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",115,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",116,21,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",111,22,"Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",111,22,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>","Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
625,2015-10-18,"18:04:07,955",INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Reduce slow start threshold not met. completedMapsForReduceSlowstart 1,E85,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},114,30,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},117,33,Reduce slow start threshold not met. completedMapsForReduceSlowstart {map},116,23,Reduce slow start threshold not met. completedMapsForReduceSlowstart <completedMaps>,117,26,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},112,29,Reduce slow start threshold not met. completedMapsForReduceSlowstart {completedMapsForReduceSlowstart},112,29,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <completedMaps>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
