LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
41,03-17,16:13:40.143,1702,2618,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
42,03-17,16:13:40.146,1702,2555,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
43,03-17,16:13:40.147,1702,2633,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
44,03-17,16:13:40.148,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
45,03-17,16:13:40.150,1702,2556,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
46,03-17,16:13:40.190,1702,2250,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
47,03-17,16:13:40.241,2626,8682,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
48,03-17,16:13:40.241,2626,8682,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
49,03-17,16:13:40.280,2626,2642,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
50,03-17,16:13:40.280,2626,2642,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
51,03-17,16:13:40.305,3664,3807,D,TelephonyManager,getNeighboringCellInfo calling app is com.amap.android.ams,E54,getNeighboringCellInfo calling app is <*>,getNeighboringCellInfo calling app is {string},118,13,getNeighboringCellInfo calling app={app_name},124,15,getNeighboringCellInfo calling app is {appName},123,15,getNeighboringCellInfo calling app is {string},124,14,getNeighboringCellInfo calling app is {string},120,13,getNeighboringCellInfo calling app is {string},120,13,getNeighboringCellInfo calling app is <*>,getNeighboringCellInfo calling app=<*>,getNeighboringCellInfo calling app is <*>,getNeighboringCellInfo calling app is <*>,getNeighboringCellInfo calling app is <*>,getNeighboringCellInfo calling app is <*>
52,03-17,16:13:40.307,2626,23469,W,PhoneInterfaceManager,shouldBlockLocation running ...,E130,shouldBlockLocation running ...,shouldBlockLocation running ...,106,6,shouldBlockLocation running at {location}.,111,9,shouldBlockLocation {bool} {string},110,10,shouldBlockLocation running ...,111,6,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,111,10,shouldBlockLocation running ...,shouldBlockLocation running at <*>.,shouldBlockLocation <*> <*>,shouldBlockLocation running ...,shouldBlockLocation running ...,shouldBlockLocation running ...
53,03-17,16:13:40.308,2626,23469,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E128,shouldBlockLocation ret:<*>,shouldBlockLocation  ret:{bool},108,9,shouldBlockLocation  ret:{bool}.,113,9,shouldBlockLocation {bool} ret:{bool},112,11,shouldBlockLocation  ret:{bool},113,9,shouldBlockLocation ret:{bool},110,9,shouldBlockLocation {bool},110,7,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>.,shouldBlockLocation <*> ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation ret:<*>,shouldBlockLocation <*>
54,03-17,16:13:40.309,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",171,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",178,69,"ready:{bool},policy:{int},wakefulness:{int},wksummary:{hex},uasummary:{hex},bootcompleted:{bool},boostinprogress:{bool},waitmodeenable:{bool},mode:{bool},manual:{int},auto:{int},adj:{float},userId:{int}",177,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",178,69,"ready={bool},policy={int},wakefulness={int},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={int},auto={int},adj={float},userId={int}",173,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}",173,72,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready:<*>,policy:<*>,wakefulness:<*>,wksummary:<*>,uasummary:<*>,bootcompleted:<*>,boostinprogress:<*>,waitmodeenable:<*>,mode:<*>,manual:<*>,auto:<*>,adj:<*>,userId:<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>"
