LineId,Time,Program,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
295,10.30 17:35:59,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1006 bytes sent, 6198 bytes (6.05 KB) received, lifetime 00:01",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime 00:01",179,43,"proxy.cse.cuhk.edu.hk close, 1.00 KB sent, 6.05 KB received, lifetime 00:01",180,41,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",179,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",180,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",174,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",174,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> KB sent, <*> KB received, lifetime <*>","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
296,10.30 17:35:59,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 811 bytes sent, 186 bytes received, lifetime 00:01",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime 00:01",169,43,"proxy.cse.cuhk.edu.hk close, 811 bytes, 186 bytes, 00:01",170,34,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",169,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",170,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",165,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",165,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> bytes, <*> bytes, <*>","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
297,10.30 17:35:59,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
298,10.30 17:36:00,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",162,35,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",163,35,"{host} close, 0 bytes sent, 0 bytes received, lifetime <1 sec",162,20,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",163,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",158,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",158,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec","proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec","<*> close, <*> bytes sent, <*> bytes received, lifetime <1 sec","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
299,10.30 17:36:00,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 811 bytes sent, 186 bytes received, lifetime 00:02",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",169,40,"proxy.cse.cuhk.edu.hk close, 811 bytes, 186 bytes, 00:02",170,34,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",169,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",170,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",165,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",165,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> bytes, <*> bytes, <*>","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
300,10.30 17:36:00,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
301,10.30 17:36:01,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
302,10.30 17:36:01,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 860 bytes sent, 3314 bytes (3.23 KB) received, lifetime 00:01",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime 00:01",178,43,"proxy.cse.cuhk.edu.hk close, 860 bytes, 3314 bytes, 00:01",179,35,"{""host"": ""proxy.cse.cuhk.edu.hk"", ""sent_size"": ""860 bytes"", ""received_size"": ""3314 bytes (3.23 KB)"", ""time"": ""lifetime 00:01""} close, 860 bytes sent, 3314 bytes (3.23 KB) received, lifetime 00:01",178,96,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",179,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> bytes, <*> bytes, <*>","{""host"": ""proxy.cse.cuhk.edu.hk"", ""sent_size"": ""<*> bytes"", ""received_size"": ""<*> bytes (<*> KB)"", ""time"": ""lifetime <*>""} close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
303,10.30 17:36:01,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
304,10.30 17:36:01,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1986 bytes (1.93 KB) sent, 1180 bytes (1.15 KB) received, lifetime <1 sec",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime <1 sec",184,40,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}.",185,40,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",184,40,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",185,40,"{host} close, {sent_size} ({size}) sent, {received_size} ({size}) received, lifetime {time}",178,30,"{host}:{sent_size} sent, {received_size} received, lifetime {time}",178,22,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <1 sec","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>.","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> (<*>) sent, <*> (<*>) received, lifetime <*>","<*> sent, <*> received, lifetime <*>"
305,10.30 17:36:02,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
306,10.30 17:36:02,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
307,10.30 17:36:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 463 bytes sent, 426 bytes received, lifetime 00:09",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",169,40,"proxy.cse.cuhk.edu.hk close, 463 bytes, 426 bytes, 00:09",170,34,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",169,25,"{} close, {} sent, {} received, lifetime {}",170,12,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",165,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",165,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> bytes, <*> bytes, <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
308,10.30 17:36:13,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1060 bytes (1.03 KB) sent, 358 bytes received, lifetime 00:11",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",178,40,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}.",179,40,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",178,25,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",179,25,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"{host}:{sent_size} sent, {received_size} received, lifetime {time}",173,22,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>.","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> sent, <*> received, lifetime <*>"
309,10.30 17:36:15,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
310,10.30 17:36:18,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 592 bytes sent, 4760 bytes (4.64 KB) received, lifetime 00:16",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",178,40,"proxy.cse.cuhk.edu.hk close, 592 bytes sent, 4760 bytes (4.64 KB) received, lifetime 00:16",179,46,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",178,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",179,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
311,10.30 17:36:18,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 592 bytes sent, 4760 bytes (4.64 KB) received, lifetime 00:16",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",178,40,"proxy.cse.cuhk.edu.hk close, 592 bytes sent, 4760 bytes (4.64 KB) received, lifetime 00:16",179,46,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",178,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",179,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
312,10.30 17:36:23,WeChat.exe,"proxy.cse.cuhk.edu.hk:5070 close, 435 bytes sent, 353 bytes received, lifetime <1 sec",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime <1 sec",166,40,"{host} close, {sent_size} sent, {received_size} received, lifetime <1 sec",167,25,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",166,25,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",167,25,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",162,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",162,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <1 sec","<*> close, <*> sent, <*> received, lifetime <1 sec","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
313,10.30 17:37:05,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 2800 bytes (2.73 KB) sent, 17757 bytes (17.3 KB) received, lifetime 01:07",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",188,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}.",189,25,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {time}",188,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",189,40,"{host} close, {sent_size} ({sent_size_kb}) sent, {received_size} ({received_size_kb}) received, lifetime {time}",182,38,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",182,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>.","{<*>} close, {<*>} sent, {<*>} received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> (<*>) sent, <*> (<*>) received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
314,10.30 17:37:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
315,10.30 17:37:21,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1457 bytes (1.42 KB) sent, 5146 bytes (5.02 KB) received, lifetime 00:10",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",187,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}.",188,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",187,40,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",188,40,"{host} close, {sent_size} ({sent_size_unit}) sent, {received_size} ({received_size_unit}) received, lifetime {time}",181,38,"{host}:{port} close, {sent_size} sent, {received_size} received, lifetime {time}",181,27,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>.","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> (<*>) sent, <*> (<*>) received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
316,10.30 17:37:22,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 494 bytes sent, 2218 bytes (2.16 KB) received, lifetime 00:01",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime 00:01",178,43,"proxy.cse.cuhk.edu.hk close, 494 bytes, 2218 bytes, 00:01",179,35,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",178,25,{},179,2,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*> bytes, <*> bytes, <*>","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}",<*>,"<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
317,10.30 17:37:26,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
318,10.30 17:37:27,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
319,10.30 17:37:50,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
320,10.30 17:37:50,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 4567 bytes (4.45 KB) sent, 1432 bytes (1.39 KB) received, lifetime 00:29",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",187,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}.",188,25,"{{host}} close, {{sent_size}} sent, {{received_size}} received, lifetime {{time}}",187,25,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",188,25,"{host} close, {sent_size} ({sent_size_KB}) sent, {received_size} ({received_size_KB}) received, lifetime {time}",181,38,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",181,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>.","{<*>} close, {<*>} sent, {<*>} received, lifetime {<*>}","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> (<*>) sent, <*> (<*>) received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
321,10.30 17:37:50,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
322,10.30 17:37:50,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
323,10.30 17:37:51,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 492 bytes sent, 2898 bytes (2.83 KB) received, lifetime 00:01",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime 00:01",178,43,"proxy.cse.cuhk.edu.hk close, 492, 2898, 00:01",179,33,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",178,40,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",179,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",173,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk close, <*>, <*>, <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
